Name,Description,Website,Theme,Focus Area,Opportunity Space,Play,Business Model Option,Friction Point,Business Model,Technologies ,Founded,Headcount,Country,Region,Funded,Funding Stage,Total Funding (USD),TRL,Maturity,Owner,Relevance,Inc. Compass,Hero,Investors,Founded Score,Founded Weighting,Headcount Score,Headcount Weighting,Funding Score,Funding Weighting,TRL Score,TRL Weighting,Total Score,Result
Feather,"Rentfeather is an online furniture rental platform. The company offers various furniture packages that include bedroom, living room, and studio apartment packages. Also offers furniture for dining room, bedroom, living room, and home office. Users can take a style quiz on company's platform to know the kind of furniture to rent and they can also buy the rented furniture. Few of the brands associated with the company are west elm, JOYBIRD, Tuft&Needle, and Casper.",https://livefeather.com,Space Management​,Furnishings & Appliances​,(1) New services for a new age,,,,,,2017,,United States of America,North America,Yes,Series B,"$7,600,000,000.00",,Emerging,,,TRUE,FALSE,,0.7,0.3,,0,0.4,0.7,,0,0.49,Emerging
Front,"Team-based approach to email. Combines a company's social media, email, texts, and other messages into a shared inbox to which the entire team has access",https://frontapp.com/,,,,,,,,,,,,,Yes,,"$138,800,000.00",,Not Complete,,,FALSE,FALSE,"Eric Yuan, Sequoia, Uncork Capital, Social Capital, eFounders, Boldstart",,0.3,,0,,0.7,,0,0,Not Complete
Mattermost,"Enterprise-grade messaging solutions: secure, configurable, highly-scalable messaging across web, phone and PC with archiving, search etc.",https://mattermost.com/,,,,,,,,,,,,,Yes,,"$70,000,000.00",,Not Complete,,,FALSE,FALSE,"YCombinator, Redpoint, Battery, S28 Capital",,0.3,,0,,0.7,,0,0,Not Complete
Flock,Real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity,https://flock.com/uk/,,,,,,,,,,,,,Yes,,"$45,000,000.00",,Not Complete,,,FALSE,FALSE,"Bhavin Turakhia, Plug & Play",,0.3,,0,,0.7,,0,0,Not Complete
Superhuman,"The ""fastest email experience ever made,"" with keyboard shortcuts, additional features, and reminders to help you reach inbox zero in less time",https://superhuman.com/,,,,,,,,,,,,,Yes,,"$33,000,000.00",,Not Complete,,,FALSE,FALSE,"First Round Capital, Andreessen Horowitz, Boldstart",,0.3,,0,,0.7,,0,0,Not Complete
Quill,"Messaging software built for productivity, not engagement",https://quill.chat/,,,,,,,,,,,,,Yes,,"$14,500,000.00",,Not Complete,,,FALSE,FALSE,"Index Ventures, General Catalyst, Sam Altman",,0.3,,0,,0.7,,0,0,Not Complete
Threads,Makes work more inclusive by empowering teams to discuss and make decisions at scale,https://threads.com/,,,,,,,,,,,,,Yes,,"$10,500,000.00",,Not Complete,,,FALSE,FALSE,Sequoia,,0.3,,0,,0.7,,0,0,Not Complete
Spike,Converts existing emails into a multimedia mobile messaging format,https://www.spikenow.com/,,,,,,,,,,,,,Yes,,"$7,300,000.00",,Not Complete,,,FALSE,FALSE,"NFX, Wix, Cubit Investments, Roy Oron",,0.3,,0,,0.7,,0,0,Not Complete
nuffsaid,A workflow intelligence platform that centralizes the world’s work apps and focuses people on the work that matters,https://www.nuffsaid.com/,,,,,,,,,,,,,Yes,,"$4,300,000.00",,Not Complete,,,FALSE,FALSE,"General Catalyst, WorkLife Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Involve,"A communication ""Operative System"" for your distributed / dispersed workforce; SaaS for improving org alignment for companies with mobile workers",https://www.involvesoft.com/,,,,,,,,,,,,,Yes,,"$2,500,000.00",,Not Complete,,,FALSE,FALSE,"Bonfire Ventures, Greycroft",,0.3,,0,,0.7,,0,0,Not Complete
Yac,Voice Collaboration SaaS for Remote Teams; very interesting as - similarly to Loom - it's a great platform enabling asynchronous communication (vs. real time),https://www.yac.com/,,,,,,,,,,,,,Yes,,"$1,500,000.00",,Not Complete,,,FALSE,FALSE,"Active Capital, Boost VC",,0.3,,0,,0.7,,0,0,Not Complete
Polymail,"Email platform for teams, combining email with real time collaboration and integrating it with your team's other tools",https://polymail.io/,,,,,,,,,,,,,Yes,,"$800,000.00",,Not Complete,,,FALSE,FALSE,"YCombinator, Zuma Partners, Erik Torenberg, Jude Gomila",,0.3,,0,,0.7,,0,0,Not Complete
Workvivo,Similar to Compose: the place where all the tools your employees love to use everyday come together in a unified digital platform.,https://www.workvivo.com/,,,,,,,,,,,,,Yes,,"$600,000.00",,Not Complete,,,FALSE,FALSE,Eric Yuan,,0.3,,0,,0.7,,0,0,Not Complete
Blink,Making remote working less remote through an all-in-one app that gives every employee a sense of community,https://joinblink.com/,,,,,,,,,,,,,Yes,,"$600,000.00",,Not Complete,,,FALSE,FALSE,Techstars,,0.3,,0,,0.7,,0,0,Not Complete
Doist (Twist),"Through its product Twist, Doist offers a communication app for teams who want a calmer, more organized, more productive workplace",https://doist.com/,,,,,,,,,,,,,Yes,,"$600,000.00",,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,,0.7,,0,0,Not Complete
/talk,An anti-meeting tool that decentralizes conversations so teams can move faster in an exciting new way,https://slashtalk.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,"Benchmark, WorkLife Ventures",,0.3,,0,0,0.7,,0,0,Not Complete
Compose,,https://compose.im/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Spatial,Turns the space around you into a shared augmented workplace using VC. Remote users can collaborate & brainstorm as if they were in the same room,https://spatial.io/ ,,,,,,,,,,,,,Yes,,"$22,300,000.00",,Not Complete,,,FALSE,FALSE,"Inovia Capital, Kakao Ventures, Lerer Hippeau, White Star Capital",,0.3,,0,,0.7,,0,0,Not Complete
Range,"""Operating System for work"" that keeps you in sync with your team through regular check-ins, day planning sessions, ""accomplishment logs' etc.",https://www.range.co/ ,,,,,,,,,,,,,Yes,,"$8,500,000.00",,Not Complete,,,FALSE,FALSE,"General Catalyst, First Round Capital, Bloomberg Beta, Precursor Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Tandem,Brings the ease of sitting huddled around the same computer to employees working from anywhere,https://tandem.chat/ ,,,,,,,,,,,,,Yes,,"$7,500,000.00",,Not Complete,,,FALSE,FALSE,"Andreessen Horowitz, Shasta Ventures, WorkLife Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Motion,"Provides real-time interventions, reminders, and analytic, preventing people from getting distracted on the web",https://www.inmotion.app/ ,,,,,,,,,,,,,Yes,,"$200,000.00",,Not Complete,,,FALSE,FALSE,YCombinator,,0.3,,0,,0.7,,0,0,Not Complete
